OverallQual_train,GrLivArea_train,GarageCars_train,GarageArea_train,TotalBsmtSF_train,FrstFlrSF_train,FullBath_train,TotRmsAbvGrd_train,YearBuilt_train,YearRemodAdd_train,SalePrice_train,,OverallQual_test,GrLivArea_test,GarageCars_test,GarageArea_test,TotalBsmtSF_test,FrstFlrSF_test,FullBath_test,TotRmsAbvGrd_test,YearBuilt_test,YearRemodAdd_test,SalePrice_test
7,1710,2,548,856,856,2,8,2003,2003,208500,,2.055641538,11.81868033,0.730463147,11.25986809,11.77511374,11.81868033,0.730463147,2.055641538,14.12137561,14.12137561,120631
6,1262,2,460,1262,1262,2,6,1976,1976,181500,,2.259673787,12.94373491,0.730463147,9.118180874,12.94373491,12.94373491,0.730463147,2.259673787,14.11660461,14.11660461,158404
7,1786,2,608,920,920,2,6,2001,2002,223500,,2.055641538,13.55127232,1.194317638,10.17948904,11.91613099,11.91613099,1.194317638,2.259673787,14.17814922,14.17971381,183752
7,1717,3,642,756,961,1,7,1915,1970,140000,,2.259673787,13.50445256,1.194317638,10.1160351,11.91012459,11.91012459,1.194317638,2.440268378,14.17971381,14.17971381,194413
8,2198,3,836,1145,1145,2,9,2000,2000,250000,,2.602594469,12.83362515,1.194317638,10.30247732,12.83362515,12.83362515,1.194317638,2.055641538,14.17031625,14.17031625,195149
5,1362,2,480,796,796,1,5,1993,1995,143000,,2.259673787,13.59932178,1.194317638,9.951171657,11.37899226,11.37899226,1.194317638,2.440268378,14.17188418,14.17345144,174102
8,1694,2,636,1686,1694,2,7,2004,2005,307000,,2.259673787,12.61440669,1.194317638,9.835883259,12.56783406,12.61440669,1.194317638,2.259673787,14.17031625,14.19376529,177807
7,2090,2,484,1107,1107,2,7,1973,1973,200000,,2.259673787,13.23222266,1.194317638,9.672623079,11.46980512,11.46980512,1.194317638,2.440268378,14.17971381,14.17971381,162240
7,1774,2,468,952,1022,2,8,1931,1950,129900,,2.440268378,12.97017409,1.194317638,10.30247732,12.87899313,12.97017409,0.730463147,2.055641538,14.16717839,14.16717839,180643
5,1077,1,205,991,1077,1,5,1939,1950,118000,,1.820334104,11.77511374,1.194317638,10.39638094,11.77511374,11.77511374,0.730463147,1.820334104,14.1356515,14.1356515,124543
